ticker,volatility,return,sharpe,avg_corr,max_corr,min_corr,std_corr
XOM,0.21418921250519973,0.12592582986131068,0.5879186369306701,0.29038646190772427,0.8069336671851011,0.01993621577011336,0.20542640206857546
CVX,0.21929164258103637,0.10181813153044628,0.4643046599134334,0.3322454577399422,0.8069336671851011,0.07073717723203184,0.19340984947134904
COP,0.2820421549191616,-0.05554579844391073,-0.19694147656697333,0.33433213465456646,0.8449567733837203,0.03266572143537318,0.20398256508242224
SLB,0.3175526907505474,-0.11432208765034714,-0.36000982192952835,0.35709625743849116,0.8100875336509531,0.05464852312684242,0.18027531759556112
EOG,0.25600592529756633,0.01466001832224332,0.057264371147673125,0.3104316801965145,0.8449567733837203,0.025008611902460377,0.1986841252452917
MPC,0.31966889178100594,0.20608085745689828,0.6446697278197376,0.3165719220431223,0.8795782652387761,0.018052382269756438,0.18621451296665184
VLO,0.332352265062065,0.2564007291391476,0.7714727898462378,0.3150414266870274,0.8795782652387761,0.023626516662444093,0.1870746772979576
PSX,0.3073472233657211,0.1791051449691386,0.5827452840073858,0.3606159283246598,0.8446529310390446,0.036816202965235245,0.18954956253087613
OXY,0.2975498602579575,-0.12721316658288054,-0.4275356287265419,0.3243858293660113,0.8101954372897754,0.0040502747284425706,0.19633650641543837
HAL,0.36080626364107266,-0.07849630256206669,-0.21755803729658701,0.3405703155853945,0.8100875336509531,0.009459233101010319,0.19045115854967756
CAT,0.29088377425427764,0.45364490524690065,1.559540082322861,0.3624327611443916,0.6503000171074483,0.011823342526829855,0.15637156933247126
BA,0.35426456515729166,0.027509615270428407,0.07765274310800539,0.262017465134324,0.4220961901873127,0.02398534876907634,0.09887172984257525
HON,0.2150663504060506,0.10303714682250877,0.4790946916055072,0.32834566182386765,0.497412630919739,0.11812715327166935,0.07841012020541485
UPS,0.2960890283988887,-0.11786585669911825,-0.39807573193941637,0.2595991827109073,0.4233883707173041,0.023944381247743524,0.0940001587413906
RTX,0.22834855066129672,0.4400041349501656,1.9268969900440136,0.21019621799272437,0.4180721650682636,0.08505859239288233,0.08131433234672444
LMT,0.21756846898566073,0.06588278469948983,0.3028140291037851,0.10070359418293978,0.339412939625532,-0.09787590048620955,0.08440652289289159
DE,0.2575018337895276,0.16126865054078462,0.6262815614454986,0.2992319831566656,0.5464940945855309,0.009218718406142168,0.11265025142708952
GE,0.2995583102862118,0.6519077609264804,2.1762299310061457,0.2876315200222587,0.4983220849611776,-0.0634838916273209,0.12084857570267193
MMM,0.31734343085870004,0.4567905698648838,1.4394202792503175,0.2963819935435464,0.463385660141901,0.10583191407193254,0.09140659372672348
EMR,0.2799683940926307,0.24808827890910523,0.8861295922818432,0.38562448847096303,0.6503000171074483,0.008423090389068903,0.14946650416589594
